Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2021,14,25-64 yr,0,0,0,0,0,0,0,0,0
2021,15,25-64 yr,0,0,1,1,0,0,0,1,0
2021,16,25-64 yr,0,0,0,0,0,0,0,1,0
2021,17,25-64 yr,0,0,0,0,1,0,0,0,0
2021,18,25-64 yr,0,0,0,0,0,1,0,0,0
2021,19,25-64 yr,0,0,0,0,0,0,0,0,0
2021,20,25-64 yr,0,0,0,0,1,0,0,0,0
2021,21,25-64 yr,0,0,0,0,0,0,0,0,0
2021,22,25-64 yr,0,0,0,0,1,0,0,1,0
2021,23,25-64 yr,0,0,0,0,0,0,0,0,0
2021,24,25-64 yr,0,0,0,0,0,0,0,0,0
2021,25,25-64 yr,0,0,0,1,0,0,0,0,0
2021,26,25-64 yr,0,0,0,0,1,0,0,0,0
2021,27,25-64 yr,0,0,0,1,1,0,0,0,0
2021,28,25-64 yr,0,0,2,0,1,0,0,1,0
2021,29,25-64 yr,0,0,2,0,0,0,0,0,0
2021,30,25-64 yr,0,0,1,1,1,0,0,0,0
2021,31,25-64 yr,0,0,1,0,2,0,0,0,0
2021,32,25-64 yr,0,0,0,0,0,0,0,0,0
2021,33,25-64 yr,0,0,2,0,0,0,0,0,0
2021,34,25-64 yr,0,0,0,1,4,0,0,3,0
2021,35,25-64 yr,0,0,0,0,0,0,0,0,0
2021,36,25-64 yr,0,0,0,0,2,0,0,1,0
2021,37,25-64 yr,0,0,1,0,2,1,0,0,0
2021,38,25-64 yr,0,0,0,2,2,0,0,0,0
2021,39,25-64 yr,0,0,1,0,1,0,0,1,0
2020,40,65+ yr,0,0,0,0,1,0,0,0,0
2020,41,65+ yr,0,0,0,0,0,0,0,0,0
2020,42,65+ yr,0,0,0,0,0,0,0,2,0
2020,43,65+ yr,0,0,0,0,2,0,0,0,0
2020,44,65+ yr,0,0,0,0,1,0,0,4,0
2020,45,65+ yr,0,0,0,0,0,0,0,2,0
2020,46,65+ yr,0,0,0,0,0,0,0,1,0
2020,47,65+ yr,0,0,0,0,0,0,0,0,0
2020,48,65+ yr,0,0,0,1,0,0,0,0,0
2020,49,65+ yr,0,0,0,0,1,0,0,0,0
2020,50,65+ yr,0,0,0,0,1,0,0,0,0
2020,51,65+ yr,0,0,0,0,0,0,0,0,0
2020,52,65+ yr,0,0,0,0,0,0,0,1,0
2020,53,65+ yr,0,0,0,0,2,0,0,0,0
2021,1,65+ yr,0,0,0,0,0,0,0,0,0
2021,2,65+ yr,0,0,0,0,0,0,0,0,0
2021,3,65+ yr,0,0,0,0,0,0,0,0,0
2021,4,65+ yr,0,0,0,1,0,0,0,0,0
2021,5,65+ yr,0,0,0,0,0,0,0,0,0
2021,6,65+ yr,0,0,0,0,1,0,0,0,0
2021,7,65+ yr,0,0,0,0,0,0,0,0,0
2021,8,65+ yr,0,0,0,0,0,0,0,0,0
2021,9,65+ yr,0,0,0,0,0,0,0,0,0
2021,10,65+ yr,0,0,0,0,0,0,0,0,0
2021,11,65+ yr,0,0,0,0,1,0,0,0,0
2021,12,65+ yr,0,0,0,0,0,0,0,0,0
2021,13,65+ yr,0,0,0,0,0,0,0,0,0
2021,14,65+ yr,0,0,0,1,0,0,0,0,0
2021,15,65+ yr,0,0,0,0,1,0,0,1,0
2021,16,65+ yr,0,0,0,0,0,0,0,0,0
2021,17,65+ yr,0,0,0,0,0,0,0,0,0
2021,18,65+ yr,0,0,0,0,0,0,0,0,0
2021,19,65+ yr,0,0,0,0,0,0,0,0,0
2021,20,65+ yr,0,0,0,0,0,0,0,0,0
2021,21,65+ yr,0,0,0,0,0,0,0,0,0
2021,22,65+ yr,0,0,0,1,0,0,0,0,0
2021,23,65+ yr,0,0,0,0,0,0,0,0,0
2021,24,65+ yr,0,0,0,0,0,0,0,0,0
2021,25,65+ yr,0,0,0,0,0,0,0,0,0
2021,26,65+ yr,0,0,0,0,0,0,0,0,0
2021,27,65+ yr,0,0,0,0,0,0,0,0,0
2021,28,65+ yr,0,0,0,0,0,0,0,0,0
2021,29,65+ yr,0,0,0,0,0,0,0,0,0
2021,30,65+ yr,0,0,0,0,0,0,0,0,0
2021,31,65+ yr,0,0,1,0,1,0,0,0,0
2021,32,65+ yr,0,0,0,0,1,0,0,0,0
2021,33,65+ yr,0,0,0,0,1,0,0,1,0
2021,34,65+ yr,0,0,0,0,0,0,0,0,0
2021,35,65+ yr,0,0,0,0,0,0,0,0,0
2021,36,65+ yr,0,0,0,0,0,0,0,0,0
2021,37,65+ yr,0,0,0,0,0,0,0,0,0
2021,38,65+ yr,0,0,0,0,2,0,0,0,0
2021,39,65+ yr,0,0,0,0,0,0,0,0,0
